Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France métropolitaine, Martinique et La Réunion - Communes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 19/06/2018       Géographie au 01/01/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Médiane du niveau vie (€);Part des ménages fiscaux imposés (%);Taux de pauvreté-Ensemble (%);Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté-propriétaires (%);Taux de pauvreté-locataires (%);Part des revenus d'activité (%);dont part des salaires et traitements hors chômage (%);dont part des indemnités de chômage (%);dont part des revenus des activités non salariées (%);Part des pensions, retraites et rentes (%);Part des revenus du patrimoine et autres revenus (%);Part de l'ensemble des prestations sociales (%);dont part des prestations familiales (%);dont part des minima sociaux (%);dont part des prestations logement (%);Part des impôts (%);1er décile du niveau de vie (€);9e décile du niveau de vie (€);Rapport interdécile 9e décile/1er décile
CODGEO;LIBGEO;NBMENFISC15;NBPERSMENFISC15;MED15;PIMP15;TP6015;TP60AGE115;TP60AGE215;TP60AGE315;TP60AGE415;TP60AGE515;TP60AGE615;TP60TOL115;TP60TOL215;PACT15;PTSA15;PCHO15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15;D115;D915;RD15
01096;Chaveyriat;373,0;1007,5;21255,6;;;;;;;;;;;;;;;;;;;;;;;;
01097;Chavornay;100,0;212,0;21069,8;;;;;;;;;;;;;;;;;;;;;;;;
01098;Chazey-Bons;365,0;940,0;19958,9;;;;;;;;;;;;;;;;;;;;;;;;
01099;Chazey-sur-Ain;624,0;1548,0;23765,4;;;;;;;;;;;;;;;;;;;;;;;;
01100;Cheignieu-la-Balme;72,0;142,5;20115,0;;;;;;;;;;;;;;;;;;;;;;;;
01101;Chevillard;71,0;165,0;22030,6;;;;;;;;;;;;;;;;;;;;;;;;
01102;Chevroux;365,0;951,0;21309,3;;;;;;;;;;;;;;;;;;;;;;;;
01103;Chevry;557,0;1403,5;38792,2;;;;;;;;;;;;;;;;;;;;;;;;
01104;Chézery-Forens;186,0;440,5;23032,4;;;;;;;;;;;;;;;;;;;;;;;;
01105;Civrieux;626,0;1725,0;25438,0;;;;;;;;;;;;;;;;;;;;;;;;
01106;Cize;70,0;165,0;19020,7;;;;;;;;;;;;;;;;;;;;;;;;
01107;Cleyzieu;60,0;128,0;22194,7;;;;;;;;;;;;;;;;;;;;;;;;
01108;Coligny;505,0;1079,0;20831,1;;;;;;;;;;;;;;;;;;;;;;;;
01109;Collonges;753,0;1963,5;29818,0;44,8;;;;;;;;;;;;;;;;;;;;;;;
01110;Colomieu;67,0;154,0;19662,9;;;;;;;;;;;;;;;;;;;;;;;;
01111;Conand;55,0;121,5;19509,3;;;;;;;;;;;;;;;;;;;;;;;;
01112;Condamine;164,0;454,5;21881,3;;;;;;;;;;;;;;;;;;;;;;;;
01113;Condeissiat;327,0;809,0;19817,6;;;;;;;;;;;;;;;;;;;;;;;;
01114;Confort;206,0;504,5;25517,3;;;;;;;;;;;;;;;;;;;;;;;;
01115;Confrançon;534,0;1322,0;20543,9;;;;;;;;;;;;;;;;;;;;;;;;
01116;Contrevoz;210,0;499,5;20465,6;;;;;;;;;;;;;;;;;;;;;;;;
01117;Conzieu;54,0;148,0;18155,7;;;;;;;;;;;;;;;;;;;;;;;;
01118;Corbonod;434,0;1036,5;23640,7;;;;;;;;;;;;;;;;;;;;;;;;
01121;Corlier;42,0;103,0;20312,2;;;;;;;;;;;;;;;;;;;;;;;;
01122;Cormaranche-en-Bugey;328,0;797,0;22896,4;;;;;;;;;;;;;;;;;;;;;;;;
01123;Cormoranche-sur-Saône;425,0;1129,5;22236,0;;;;;;;;;;;;;;;;;;;;;;;;
01124;Cormoz;293,0;666,0;20818,7;;;;;;;;;;;;;;;;;;;;;;;;
01125;Corveissiat;249,0;597,5;20929,0;;;;;;;;;;;;;;;;;;;;;;;;
01127;Courmangoux;211,0;493,0;21827,2;;;;;;;;;;;;;;;;;;;;;;;;
01128;Courtes;124,0;298,0;20122,7;;;;;;;;;;;;;;;;;;;;;;;;
01129;Crans;106,0;258,5;21818,0;;;;;;;;;;;;;;;;;;;;;;;;
01130;Cras-sur-Reyssouze;542,0;1422,0;22052,7;;;;;;;;;;;;;;;;;;;;;;;;
01133;Cressin-Rochefort;169,0;425,5;21430,0;;;;;;;;;;;;;;;;;;;;;;;;
01134;Crottet;701,0;1788,5;22227,6;;;;;;;;;;;;;;;;;;;;;;;;
01135;Crozet;680,0;1861,0;35840,0;;;;;;;;;;;;;;;;;;;;;;;;
01136;Cruzilles-lès-Mépillat;326,0;878,5;22358,3;;;;;;;;;;;;;;;;;;;;;;;;
01138;Culoz;1238,0;2761,0;19374,7;50,9;15,2;;;;;;;;25,7;66,5;60,1;4,1;2,3;32,9;8,1;5,5;2,5;1,4;1,5;-13,0;10991,8;31257,0;2,8
01139;Curciat-Dongalon;192,0;431,5;18509,6;;;;;;;;;;;;;;;;;;;;;;;;
01140;Curtafond;292,0;734,0;22447,5;;;;;;;;;;;;;;;;;;;;;;;;
01141;Cuzieu;172,0;431,0;22660,0;;;;;;;;;;;;;;;;;;;;;;;;
01142;Dagneux;1767,0;4742,5;22670,0;66,2;6,8;;;;;;;;14,2;81,3;75,4;2,8;3,1;21,4;9,2;4,0;2,6;0,6;0,8;-15,9;13508,0;36543,5;2,7
01143;Divonne-les-Bains;3702,0;8705,5;41976,5;68,9;7,8;;;;;;;5,8;10,9;94,5;87,9;2,7;4,0;15,9;9,6;0,8;0,3;0,2;0,2;-20,8;14418,1;98885,4;6,9
01144;Dommartin;350,0;898,5;20884,0;;;;;;;;;;;;;;;;;;;;;;;;
01145;Dompierre-sur-Veyle;482,0;1191,0;20511,7;;;;;;;;;;;;;;;;;;;;;;;;
01146;Dompierre-sur-Chalaronne;161,0;448,0;21666,1;;;;;;;;;;;;;;;;;;;;;;;;
01147;Domsure;197,0;487,0;18759,0;;;;;;;;;;;;;;;;;;;;;;;;
01148;Dortan;762,0;1813,5;21842,4;;;;;;;;;;;;;;;;;;;;;;;;
01149;Douvres;426,0;1087,0;24665,1;;;;;;;;;;;;;;;;;;;;;;;;
01150;Drom;84,0;205,5;23195,7;;;;;;;;;;;;;;;;;;;;;;;;
01151;Druillat;476,0;1168,0;21930,8;;;;;;;;;;;;;;;;;;;;;;;;
